season_id,competition_name,#_squads,champion,top_scorer.player,top_scorer.goals_scored
1952-1953,Football League First Division,22,Arsenal,,
1951-1952,Football League First Division,22,Manchester United,,
1950-1951,Football League First Division,22,Tottenham Hotspur,,
1949-1950,Football League First Division,22,Portsmouth,,
1948-1949,Football League First Division,22,Portsmouth,,
1947-1948,Football League First Division,22,Arsenal,,
1946-1947,Football League First Division,22,Liverpool,,
1938-1939,Football League First Division,22,Everton,,
1937-1938,Football League First Division,22,Arsenal,,
1936-1937,Football League First Division,22,Manchester City,,
1935-1936,Football League First Division,22,Sunderland,,
1934-1935,Football League First Division,22,Arsenal,,
1933-1934,Football League First Division,22,Arsenal,,
1932-1933,Football League First Division,22,Arsenal,,
1931-1932,Football League First Division,22,Everton,,
1930-1931,Football League First Division,22,Arsenal,,
1929-1930,Football League First Division,22,Sheffield Wednesday,,
1928-1929,Football League First Division,22,The Wednesday,,
1927-1928,Football League First Division,22,Everton,,
1926-1927,Football League First Division,22,Newcastle United,,
1925-1926,Football League First Division,22,Huddersfield Town,,
1924-1925,Football League First Division,22,Huddersfield Town,,
1923-1924,Football League First Division,22,Huddersfield Town,,
1922-1923,Football League First Division,22,Liverpool,,
1921-1922,Football League First Division,22,Liverpool,,
1920-1921,Football League First Division,22,Burnley,,
1919-1920,Football League First Division,22,West Bromwich Albion,,
1914-1915,Football League First Division,20,Everton,,
1913-1914,Football League First Division,20,Blackburn Rovers,,
1912-1913,Football League First Division,20,Sunderland,,
1911-1912,Football League First Division,20,Blackburn Rovers,,
1910-1911,Football League First Division,20,Manchester United,,
1909-1910,Football League First Division,20,Aston Villa,,
1908-1909,Football League First Division,20,Newcastle United,,
1907-1908,Football League First Division,20,Manchester United,,
1906-1907,Football League First Division,20,Newcastle United,,
1905-1906,Football League First Division,20,Liverpool,,
1904-1905,Football League First Division,18,Newcastle United,,
1903-1904,Football League First Division,18,The Wednesday,,
1902-1903,Football League First Division,18,The Wednesday,,
1901-1902,Football League First Division,18,Sunderland,,
1900-1901,Football League First Division,18,Liverpool,,
1899-1900,Football League First Division,18,Aston Villa,,
1898-1899,Football League First Division,18,Aston Villa,,
1897-1898,Football League First Division,16,Sheffield United,,
1896-1897,Football League First Division,16,Aston Villa,,
1895-1896,Football League First Division,16,Aston Villa,,
1894-1895,Football League First Division,16,Sunderland,,
1893-1894,Football League First Division,16,Aston Villa,,
1892-1893,Football League First Division,16,Sunderland,,
1891-1892,Football League,14,Sunderland,,
1890-1891,Football League,12,Everton,,
1889-1890,Football League,12,Preston North End,,
1888-1889,Football League,12,Preston North End,,
